2015,high,10
2016,high,10
2017,high,10
2018,high,25.3
2019,high,42.1
2020,high,56
2021,high,60.4
2022,high,64.8
2023,high,69.2
2024,high,73.6
2025,high,78
2026,high,82.4
2027,high,86.8
2028,high,91.2
2029,high,95.6
2030,high,100
2031,high,105
2032,high,110
2033,high,115
2034,high,120
2035,high,125
2036,high,130
2037,high,135
2038,high,140
2039,high,145
2040,high,150
2041,high,155
2042,high,160
2043,high,165
2044,high,170
2045,high,175
2046,high,180
2047,high,185
2048,high,190
2049,high,195
2050,high,200
2015,medium,10
2016,medium,10
2017,medium,10
2018,medium,17.67
2019,medium,26.07
2020,medium,33
2021,medium,35.2
2022,medium,37.4
2023,medium,39.6
2024,medium,41.8
2025,medium,44
2026,medium,46.2
2027,medium,48.4
2028,medium,50.6
2029,medium,52.8
2030,medium,55
2031,medium,57.5
2032,medium,60
2033,medium,62.5
2034,medium,65
2035,medium,67.5
2036,medium,70
2037,medium,72.5
2038,medium,75
2039,medium,77.5
2040,medium,80
2041,medium,82.5
2042,medium,85
2043,medium,87.5
2044,medium,90
2045,medium,92.5
2046,medium,95
2047,medium,97.5
2048,medium,100
2049,medium,102.5
2050,medium,105
2015,low,10
2016,low,10
2017,low,10
2018,low,13.83
2019,low,18.03
2020,low,21.5
2021,low,22.6
2022,low,23.7
2023,low,24.8
2024,low,25.9
2025,low,27
2026,low,28.1
2027,low,29.2
2028,low,30.3
2029,low,31.4
2030,low,32.5
2031,low,33.75
2032,low,35
2033,low,36.25
2034,low,37.5
2035,low,38.75
2036,low,40
2037,low,41.25
2038,low,42.5
2039,low,43.75
2040,low,45
2041,low,46.25
2042,low,47.5
2043,low,48.75
2044,low,50
2045,low,51.25
2046,low,52.5
2047,low,53.75
2048,low,55
2049,low,56.25
2050,low,57.5
